WGS84 UTM 31N
166021 0
0.4430960779 0 66.249
0.4430960779 0 66.349
0.4430960779 0 66.149
0.4430960779 0 64.549
0.4430960779 0 58.476
0.4430960779 0 66.349
0.4430960779 0 55.176
0.4430960779 0 64.749
0.4430960779 0 66.549
0.4430960779 0 58.476
0.4430960779 0 64.049
0.4430960779 0 66.649
0.4430960779 0 58.476
0.4430960779 0 64.549
0.4430960779 0 66.349
0.4430960779 0 66.349
0.4430960779 0 66.449
0.4430960779 0 58.476
0.4430960779 0 66.349
0.4430960779 0 66.449
0.4430960779 0 64.549
0.4430960779 0 64.049
0.4430960779 0 58.476
0.4430960779 0 58.476
0.4430960779 0 66.449
0.4430960779 0 64.349
0.4430960779 0 66.249
0.4430960779 0 58.476
0.4430960779 0 56.176
0.4430960779 0 66.449
0.4430960779 0 64.549
0.4430960779 0 66.249
0.4430960779 0 63.949
0.4430960779 0 66.449
0.4430960779 0 64.549
0.4430960779 0 64.049
0.4430960779 0 58.476
0.4430960779 0 66.349
0.4430960779 0 66.449
0.4430960779 0 66.449
0.4430960779 0 58.376
0.4430960779 0 66.249
0.4430960779 0 58.476
0.4430960779 0 64.349
0.4430960779 0 64.349
0.4430960779 0 64.449
0.4430960779 0 66.349
0.4430960779 0 64.549
0.4430960779 0 66.349
0.4430960779 0 64.549
0.4430960779 0 64.049
0.4430960779 0 66.649
0.4430960779 0 66.449
0.4430960779 0 66.549
0.4430960779 0 64.549
0.4430960779 0 66.549
0.4430960779 0 66.449
0.4430960779 0 58.576
0.4430960779 0 58.476
0.4430960779 0 66.449
0.4430960779 0 66.349
0.4430960779 0 58.476
0.4430960779 0 66.249
0.4430960779 0 58.576
0.4430960779 0 66.549
0.4430960779 0 66.349
0.4430960779 0 66.649
0.4430960779 0 64.549
0.4430960779 0 64.249
0.4430960779 0 66.349
0.4430960779 0 66.549
0.4430960779 0 66.449
0.4430960779 0 64.449
0.4430960779 0 56.076
0.4430960779 0 55.276
0.4430960779 0 64.649
0.4430960779 0 64.349
